file_name,canonical_method,canonical_variable,policy_domain,target_countries,geopolitical_scope,method_family,policy_actionability_score,policy_recommendation_excerpt
108. Goldman et al. (2025). Artificial Intelligence to Support Writing Outcomes for Students With Disabilities.pdf,None,Literature synthesis outcome (not student-level prediction),Curriculum_and_Instruction,Unspecified,Unspecified,Review_or_Methodology,2,"Using ILSA literature synthesis (systematic review; no single student-level analytic micro-dataset) the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that The article does not estimate ML models or report predictive performance metrics."
109. Fink et al. (2024). Methodological aspects of the highly adaptive testing design for PISA.pdf,None,Literature synthesis outcome (not student-level prediction),Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,"Using PISA 2018 MST design the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This methods paper formalizes the highly adaptive testing (HAT) design for PISA as an operationally feasible extension of computerized adaptive testing with shadow testing."
11. Demir & Karaboğa. (2021). Modeling mathematics achievement with deep learning methods.pdf,Jordan Neural Network,Mathematics achievement class (successful vs unsuccessful),Resource_Allocation_Equity;Governance_and_School_Climate;Socio-Emotional_Intervention,TUR,Country-Specific,Deep_Learning,4,"Using PISA 2018 Turkey the study leveraged Gender, sense of school belonging, socioeconomic status (ESCS), home possessions, and parents’ emotional support (plus ICT-related variables) to predict mathematics achievement class (successful vs unsuccessful), finding that the Jordan neural network achieved the highest test performance (Accuracy 0.826, AUC 0.739)."
"110. Ang et al. (2020). Big Educational Data & Analytics: Survey, Architecture and Challenges.pdf",None,Not_specified,Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,"This paper provides a comprehensive survey of big educational data and analytics, covering data sources (e.g., LMS, MOOC, OER, social media, linked data), data collection/mining/database topics, big-data platforms/architectures (e.g., Hadoop, Spark, Samza), and analytics approaches (predictive analytics, learning analytics, recommendation systems, graph analytics, visual/immersive analytics)."
111. Bernardo et al. (2023). Profiling low-proficiency science students in the Philippines using machine learning.pdf,Random Forest,Poor vs better science proficiency (Level ≤1b vs ≥1a),Curriculum_and_Instruction;Governance_and_School_Climate;Socio-Emotional_Intervention,PHL,Country-Specific,Ensemble_Learning,4,"Using PISA 2018 Philippines science the study leveraged sense of belonging, perceived student cooperation, experienced bullying, work mastery motivation, and access to smartphones with internet at home to predict poor science proficiency (Level ≤1b vs ≥1a), finding that the Random Forest classifier achieved test accuracy of 0.74 and AUC of 0.83; SHAP was used to interpret the top 15 predictors, but the approach is predictive rather than causal and the manuscript does not report applying PISA sampling weights."
112. Zhang et al. (2023). Accurate Assessment via Process Data.pdf,None,PSTRE latent proficiency (process-incorporated vs response-based agreement with reference set),Cross-Cutting_Methodological,GBR;IRL;JPN;NLD;USA,Multi-Country,Hybrid_Penalized,3,"Using PIAAC 2012 PSTRE data from the scoring set and reference set split (7+7 items) across five countries/regions, the study leveraged process-derived features (embedded via MDS and combined through Rao–Blackwellization) together with response-based latent trait estimates to predict reference-set PSTRE proficiency, finding that process-incorporated scoring achieved consistently lower MSE and higher Kendall’s τ than response-based scoring, especially when the two estimators disagreed most."
113. Tyack et al. (2024). Using convolutional neural networks to automatically score eight TIMSS 2019 graphical response items.pdf,Neural Network,Automated CNN score classification vs human rater (dichotomous/partial credit as applicable),Cross-Cutting_Methodological,USA,Country-Specific,Deep_Learning,5,"Using TIMSS 2019 eTIMSS Grade 4 graphical response item the study leveraged human rater score category, item identity, grade level, content domain, and item complexity to predict the human rater classification from student images, finding that CNN-based automated scoring achieved near-perfect agreement (≈99%+ accuracy and F1 ≈0.995–0.999) for dichotomous items."
114. Khoudi et al. (2024). Identifying the contextual factors related to the reading performance of Moroccan fourth-grade students from a Machine Learning-based Approach..pdf,Gradient Boosting,Reading proficiency (Low vs Others),Curriculum_and_Instruction,MAR,Country-Specific,Ensemble_Learning,4,"Using PIRLS 2016 Morocco Grade 4 Reading the study leveraged reading achievement too low, students’ reading confidence, early literacy tasks performance, student age, and reading attitudes to predict whether students were in the Low reading proficiency group versus Others, finding that Gradient Boosting achieved the highest classification performance (Accuracy 80.97%, F1 63.80%) and identified 12 key contextual variables overall."
115. Rausch et al. (2024). Designing an International Large‑Scale Assessment of Professional Competencies and Employability Skills: Emerging Avenues and Challenges of OECD’s PISA‑VET.pdf,None,Literature synthesis outcome (not student-level prediction),Resource_Allocation_Equity;Teacher_Workforce_Development,Unspecified,Unspecified,Review_or_Methodology,2,"Using OECD the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This is a non-empirical methodology paper describing the design of OECD’s PISA-VET assessment framework rather than reporting predictive modeling results."
"116. Ye & Yuan. (2022). Using a machine learning approach to explore non-cognitive factors affecting reading, mathematics, and science literacy in china and the united states.pdf",Decision Tree,Reading achievement (PV1READ),Curriculum_and_Instruction;Resource_Allocation_Equity;Socio-Emotional_Intervention,CHN;USA,Multi-Country,Traditional_Stats,3,"Using PISA 2018 Reading the study leveraged perceived PISA test difficulty (PISADIFF), meta-cognition credibility (METASPAM), meta-cognition summarizing (METASUM), socioeconomic status (ESCS), and science learning time (SMINS) to predict reading achievement, finding that metacognitive awareness and students’ perceived difficulty were among the most influential predictors, with ESCS and school learning-time variables also contributing."
117. Lim et al. (2024). Exploration of Variables Predicting Sense of School Belonging Using the Machine Learning Method—Group Mnet.pdf,Group Mnet,Sense of school belonging,Governance_and_School_Climate;Socio-Emotional_Intervention,KOR,Country-Specific,Hybrid_Penalized,3,"Using PISA 2015 (KOR) the study leveraged student gender, home ICT/educational resources, school climate (e.g., being threatened), teacher relationship indicators, and life satisfaction to predict students’ sense of school belonging, finding that positive peer/teacher relationships, parental support, cooperation tendencies, learning/physical activities, and life satisfaction were associated with higher belonging while anxiety, unfair teacher treatment, and being threatened by peers were associated with lower belonging; predictive performance was stable (RMSE≈0.39) but the manuscript notes that ML-selected predictors are not necessarily statistically significant in a conventional inferential sense."
118. Rutkowski et al. (2024). The limits of inference: reassessing causality in international assessments.pdf,None,Not_specified,Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,The authors contrast RCTs (gold standard) with quasi-experimental designs and use published examples to illustrate where causal claims may fail.
119. Cortes et al. (2025). Evaluating uncertainty: the impact of the sampling and assessment design on statistical inference in the context of ILSA.pdf,None,reading achievement,Cross-Cutting_Methodological,NLD;BGR;ARE;MAC;ZAF;IRL;FRA;BEL;MLT;HKG;TWN;ESP;CAN;KAZ;ARG;TUR;USA,Global,Review_or_Methodology,2,"Using PIRLS 2016 data to compute design effects for multip, the document summarizes reading achievement in relation to See outcome_summary (descriptive associations not coded as predictors), reporting that This paper is not an ML prediction/classification study; it develops and applies a design-effect framework to decompose design-based uncertainty in ILSA inference."
12. Gomez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results in Mathematics.pdf,Stacking,Low vs High mathematics proficiency (binary),Curriculum_and_Instruction;Resource_Allocation_Equity;Governance_and_School_Climate,ESP,Country-Specific,Ensemble_Learning,3,"Using PISA 2022 Mathematics data for Spain, the study leveraged grade repetition, digital device ownership, extra mathematics class participation, number of books at home, and pre-class study/homework behavior to predict Low vs High mathematics proficiency, finding that the stacking meta-model achieved very high discrimination (AUC ≈ 0.9766) and that SHAP highlighted these factors as key drivers."
120. Rebai et al. (2020). A graphically based machine learning approach to predict secondary schools performance in Tunisia.pdf,Random Forest,School inefficiency score (DDF/DEA output),Resource_Allocation_Equity;Governance_and_School_Climate,TUN,Country-Specific,Ensemble_Learning,5,"Using PISA 2012 Tunisia school-level the study leveraged school size, class size, proportion of girls, competition, and parental pressure to predict school inefficiency (DDF/DEA) and found that inefficiency is most strongly associated with school characteristics—especially proportion of girls and school size—while competition and location show additional effects in linear robustness models; the authors also emphasize non-linear interactions captured by regression trees/random forests (with no causal claims beyond prediction)."
121. Braun et al. (2025). Rethinking TIMSS quality assurance: utilizing neural network models with regression‑based bias mitigation strategies for validating country‑level math and science achievement scores.pdf,Neural Network,Math achievement (country-level mean; residual screening),Resource_Allocation_Equity;Governance_and_School_Climate,ARE;AUS;BEL;BHR;CHL;CHN;DEU;DNK;ESP;GBR;GEO;HKG;IRN;IRL;ITA;JOR;KAZ;KWT;LBN;MAR;MYS;NLD;NZL;QAT;RUS;SAU;SGP;SWE;ZAF;TUR;USA;UKR,Global,Deep_Learning,3,"Using TIMSS 2011→2015 Grade 8 Mathematics the study leveraged socioeconomic, demographic, and student/teacher background variables to predict country-level mean math achievement and compute residuals, finding that most countries’ residuals were well-behaved while a small set of countries showed large positive residuals (top 20%) consistent with potential workflow anomalies."
122. Schmitz & Sonnleitner (2025). Evaluating AI‑generated vs. human‑written reading comprehension passages: an expert SWOT analysis and comparative study for an educational large‑scale assessment.pdf,None,Discernibility of authorship (human vs AI; % correct/definitely AI),Socio-Emotional_Intervention,LUX;DEU,Multi-Country,Review_or_Methodology,4,"Using Study 2 online blinded review the study leveraged text type, prompt design, and genre to predict authorship discernibility, finding that reviewers could not reliably distinguish human-written from GPT-4-generated texts (no category exceeded 50% correct), with informative zero-shot and narrative human-written texts showing the highest—but still limited—discernibility."
123. Jewsbury & Johnson (2025). Principal component analysis on the covariance matrix for data reduction in large‑scale assessments.pdf,None,Proficiency group mean estimates (PVs) bias and MSE,Cross-Cutting_Methodological,USA,Country-Specific,Review_or_Methodology,3,"Using the simulation design based on 2019 NAEP Mathematics Grade 8 the study leveraged variance-weighted PCA-COV (and hybrid variants including main reporting-group dummies) to predict PV-based proficiency group means, finding that PCA-COV greatly reduces bias and MSE compared with PCA-COR, with PCA-COV-Hybrid achieving the lowest mean bias for small reporting groups."
123. Schipper et al. (2025). Identifying students’ solution strategies in digital mathematics assessment using log data.pdf,None,Solution-strategy class membership (5 latent classes),Socio-Emotional_Intervention,FRA,Country-Specific,Review_or_Methodology,3,"Using CEDRE 2019 Grade 9 digital mathematics data for the “Product Equation” item, the study leveraged entered values (x and -2/3), interaction counts, and time-based log aggregates to identify five distinct solution-strategy classes, finding that students differed meaningfully in in-assessment behavior (e.g., absent, algebraic, pragmatic, trial-and-error, disengaged)."
124. Mirazchiyski & Gershteyn (2024). ﻿Technology factors related to the differences in paper and online reading scores in PIRLS 2016.pdf,None,Mode difference in reading for information (e-reading PV minus paper PV),Resource_Allocation_Equity;Socio-Emotional_Intervention,DNK;ITA;NOR;PRT;SVN;SWE,Multi-Country,Review_or_Methodology,3,Using PIRLS 2016 Grade 4 Reading for information (paper vs.
125. Huang & Keller (2025). Working with missing data in large‑scale assessments.pdf,None,288 schools) achievement | predicts mathematics achievement measured by pv1math–pv10math from gender | ESCS achievement | immigration status achievement | student behavior hindering learning achievement,Resource_Allocation_Equity;Teacher_Workforce_Development,BEL,Country-Specific,Review_or_Methodology,1,[Purely Methodological / No Explicit Policy Statement]
126. He et al. (2024). The relationship between personal‑collaborative motivation profiles and students’ performance in collaborative problem solving.pdf,None,CPS achievement (10 plausible values),Resource_Allocation_Equity;Socio-Emotional_Intervention,CHN,Country-Specific,Review_or_Methodology,3,"Using PISA 2015 CPS data from China (B-S-J-G regions), the study leveraged motivation profile membership along with gender, ESCS, SOIAICT, and school factors (notably PROSTCE) to predict CPS achievement (PVs)."
127. Sun et al. (2023). A Theoretical Framework for a Mathematical Cognitive Model for Adaptive Learning Systems.pdf,None,Literature synthesis outcome (not student-level prediction),Curriculum_and_Instruction,Unspecified,Unspecified,Review_or_Methodology,2,"Using TIMSS the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This paper proposes a theoretical framework for constructing a mathematical cognitive model intended to support cognitive diagnostic assessment and adaptive learning systems."
128. Chen et al. (2020). Synergistic effects of instruction and affect factors on high‑ and low‑ability disparities in elementary students’ reading literacy.pdf,XGBoost,High vs low reading proficiency (benchmark-based),Socio-Emotional_Intervention,AUS;USA;GBR;HKG;MAC;TWN,Multi-Country,Ensemble_Learning,4,"Using PIRLS 2016 Grade 4 Reading data from English-instruction systems, the study leveraged reading self-concepts, reading attitudes, and selected teacher instructional practices (e.g., same-ability grouping and comprehension strategy instruction) to predict high vs low reading proficiency, finding that affective constructs—especially reading self-concepts—were the predominant and most influential factors for discriminating high from low achievers."
"129. Campos & Scherer. (2024). Digital gender gaps in Students’ knowledge, attitudes and skills: an integrative data analysis across 32 Countries.pdf",None,Digital skills (CIL) via ICT affect mediation,Socio-Emotional_Intervention,TUR;THA;RUS;CHE;CZE;POL;SVK;DEU;LTU;DNK;HRV;NLD;BAA;CHL;HKG;AUS;COT;NOR;NAL;SVN;KOR;NWD;PRT;URY;KAZ;FRA;LUX;USA;MSW;ITA;FIN,Global,Review_or_Methodology,3,"Using ICILS 2013 & 2018 Grade 8 CIL the study leveraged Gender, ICT availability at home, and ICT affect to estimate direct and indirect effects on digital skills, finding that girls outperformed boys (negative direct effect) and that ICT affect partially mediated the gender gap (positive indirect effect)."
13. Bu & Chen. (2023). What key contextual factors contribute to students’ reading literacy among top-performing countries and economies? Statistical and machine learning analyses.pdf,Gradient Boosting,Reading literacy (PV1READ),Curriculum_and_Instruction;Resource_Allocation_Equity;Socio-Emotional_Intervention,CHN;SGP;MAC,Multi-Country,Ensemble_Learning,5,"Using PISA 2018 Reading the study leveraged assessing credibility, summarizing information, and ESCS (along with reading interest and understanding/remembering) to predict reading literacy (PV1READ), finding that metacognitive factors—especially assessing credibility—were the most influential predictors and that the GBDT model achieved R²≈0.50 with RMSE≈68.34 for the combined top-performing countries/economies."
130. Chung et al. (2022). An International Comparison Study Exploring the Influential Variables Affecting Students’ Reading Literacy and Life Satisfaction.pdf,Random Forest,Reading literacy (Plausible Values) | Life satisfaction (0–10 scale),Curriculum_and_Instruction;Resource_Allocation_Equity;Governance_and_School_Climate;Socio-Emotional_Intervention,USA;KOR,Multi-Country,Ensemble_Learning,3,"Using PISA 2018 reading literacy the study leveraged socioeconomic status (ESCS), grade repetition, metacognitive strategies, ICT interest, and long-text use in class to predict reading literacy, finding that ESCS and multiple metacognitive/self-concept variables were positively associated with reading literacy in both countries, while the effect of long-text use differed by country (positive in the U.S., negative in South Korea)."
131. Damiani et al. (2024). Young people’s civic engagement in Italy: evidence on grade 8 students from the international civic and citizenship education study (ICCS) 2016.pdf,Logistic Regression,Civic engagement profile membership (disengaged/moderately engaged/engaged),Socio-Emotional_Intervention,ITA,Country-Specific,Traditional_Stats,4,"Using ICCS 2016 Italy Grade 8 the study leveraged citizenship self-efficacy, trust in civic institutions, engagement with social media, openness in classroom discussions, and civic learning at school to predict civic engagement profile membership, finding that engaged students were characterized by higher citizenship self-efficacy (and generally higher levels of the other listed predictors), while civic knowledge showed no statistically significant association."
14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across Cultures? Evidence From Korea and the US.pdf,Random Forest,Academic resilience (binary: reading Level 3+ vs below) using 10 reading PVs,Curriculum_and_Instruction;Resource_Allocation_Equity;Socio-Emotional_Intervention,KOR;USA,Multi-Country,Ensemble_Learning,5,"Using PISA 2018 Reading data for disadvantaged students (bottom-25% ESCS) in Korea and the US, the study leveraged meta-cognition variables (METASUM, METASPAM, UNDREM), reading self-concept (SCREADCOMP), and joy of reading (JOYREAD) to predict academic resilience (binary Level 3+ vs below) from reading plausible values, finding that individual cognitive/non-cognitive factors ranked highest in both countries while some predictors differed by culture (e.g., self-efficacy and educational expectation more prominent in Korea; fixed mindset and meaning in life more prominent in the US)."
15. Kalaycı-Alas & Demir. (2023). Heuristic analysis of the native language curriculum of  successful countries in pisa and turkey by using anfis.pdf,ANFIS,PISA 2018 reading score (country-level),Curriculum_and_Instruction,SGP;HKG;KOR;IRL;FIN;CAN;SWE;USA;TUR,Multi-Country,Hybrid_Penalized,3,"Using PISA 2018 Reading (country-level) together with native language curriculum document counts, the study leveraged Reading & listening outcomes and Reading & listening codes to predict the PISA 2018 reading score, finding a moderately strong and significant relationship (R²≈0.78) with RMSE≈20.57."
16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore Non-Cognitive Variables Influencing Reading Proficiency in English among Filipino Learners.pdf,SVM,Reading proficiency group (low vs high) using PV1READ,Curriculum_and_Instruction;Resource_Allocation_Equity;Teacher_Workforce_Development;Governance_and_School_Climate;Socio-Emotional_Intervention,PHL,Country-Specific,Traditional_Stats,4,"Using PISA 2018 Reading data for the Philippines, the study leveraged perceived reading difficulty, exposure to bullying, mastery motivation/persistence, reading enjoyment, and socioeconomic status (ESCS) to classify students into low vs high reading proficiency groups (based on PV1READ), finding that the SVM achieved 81.20% test accuracy and AUC-ROC of 0.89; SHAP was used to identify the most influential variables, but the paper does not claim causal effects and does not report survey-weighted ML estimation."
17. McJames et al. (2023). Factors affecting teacher job satisfaction  a causal inference machine learning approach using data from TALIS 2018.pdf,BART,Teacher job satisfaction (TALIS scale),Teacher_Workforce_Development;Socio-Emotional_Intervention,GBR,Country-Specific,Ensemble_Learning,5,"Using TALIS 2018 (England) the study leveraged CPD participation, induction programme participation, and part-time contract status (along with other treatment indicators) to estimate causal effects on teacher job satisfaction, finding that CPD and induction had the strongest positive average treatment effects while part-time contracts had a negative effect; team teaching and observing showed positive directions but with wide uncertainty that included zero."
18. Khine et al. (2025). From Meals to Marks: Modeling the Impact of Family Involvement on Reading Performance with Counterfactual Explainable AI.pdf,Gradient Boosting,Reading achievement (READING plausible value),Resource_Allocation_Equity;Socio-Emotional_Intervention,ARE,Country-Specific,Ensemble_Learning,4,"Using PISA 2022 (UAE) reading plausible value the study leveraged family meal frequency, time talking with parents, and discussions about how school is going (plus other family-engagement items) to predict reading achievement, finding that Gradient Boosting achieved the best generalization (R² ≈ 0.188) and that counterfactual increases in SPENDTALK and EATMEAL could raise predicted reading scores by roughly 90 and 85 points respectively; however, the counterfactuals are univariate ceteris paribus simulations and SHAP-based importance is not causal evidence."
19. Khoudi et al. (2024). Finding the contextual impacts on Students’ Mathematical performance using a Machine Learning-based Approach.pdf,XGBoost,Low vs Others mathematics achievement (majority-vote benchmark),Curriculum_and_Instruction,MAR,Country-Specific,Ensemble_Learning,4,"Using TIMSS 2019 Grade 8 Mathematics data for Morocco, the study leveraged mathematics achievement too low, classroom libraries, science achievement too low, work on your own frequency, and student confidence in mathematics to predict low vs others mathematics achievement, finding that XGBoost achieved the best performance (Accuracy 81.92%, F1 74.42%) and identified 12 key contextual factors as most relevant."
2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics performance on PISA 2022 using ensemble tree-based machine learning models.pdf,XGBoost,Mathematics achievement (PVs),Resource_Allocation_Equity;Socio-Emotional_Intervention,USA,Country-Specific,Ensemble_Learning,4,"students, the study leveraged mathematics self-efficacy, ESCS, expected occupation status, familiarity with math concepts, and family support for self-directed learning to predict mathematics achievement (PVs), finding that these predictors were consistently among the most influential across ensemble tree models and that XGBoost provided the best accuracy–efficiency tradeoff."
20. Bezek-Güre et al. (2020) Analysis of Factors Effecting PISA 2015 Mathematics Literacy via Educational Data Mining EN.pdf,Random Forest,Math achievement status (low/medium/high),Resource_Allocation_Equity;Socio-Emotional_Intervention,TUR,Country-Specific,Ensemble_Learning,4,"Using PISA 2015 Mathematics (Turkey) the study leveraged anxiety, Turkish success status, mother education level, motivation, and epistemological beliefs to predict students’ mathematics achievement status (low/medium/high)."
21. Koo & Yoo. (2025). Teachers’ team innovativeness in TALIS 2018: An empirical and simulation study using glmmLasso for multilevel data.pdf,glmmLasso,Teachers’ team innovativeness (T3TEAM),Teacher_Workforce_Development;Governance_and_School_Climate;Socio-Emotional_Intervention,KOR,Country-Specific,Hybrid_Penalized,3,"Using TALIS 2018 Korea the study leveraged teacher collaboration indicators (e.g., joint activities across classes/ages, common standards work, team conferences) and teacher self-efficacy to predict teachers’ team innovativeness (T3TEAM), finding that most key predictors had positive associations while the school climate item on shared responsibility for school issues (TT3G48D) showed a negative association; glmmLasso achieved comparable predictive error to LASSO/Enet but selected a substantially smaller, more stable set of predictors."
22. Cheung et al. (2024). A machine-­ learning model of academic resilience in the times of the COVID-­ 19 pandemic: Evidence drawn from 79 countries:economies in the PISA 2022 mathematics study.pdf,Random Forest,Academic resilience status (ARS=1 vs NRS=0),Resource_Allocation_Equity;Socio-Emotional_Intervention,Unspecified,Unspecified,Ensemble_Learning,3,"Using PISA 2022 Mathematics the study leveraged math self-efficacy, math anxiety, familiarity with math concepts, truancy, and future aspirations to classify academic resilience status (ARS vs NRS), finding that the random-forest model achieved strong discrimination (ROC-AUC=96.79%) and that the top 35 features largely validated the prior resilience framework; SHAP was used to quantify feature contributions, but the paper is cross-sectional so SHAP-based importance should not be interpreted as causal effects."
23. Encarnação et al. (2025). Hierarchical clustering of the pre- exam anxiety levels in physically inactive and active adolescent students from 56 countries: an observational study using PISA program data.pdf,None,Pre-exam anxiety percentage (country-level) | Difference in pre-exam anxiety percentage (low vs high activity),Socio-Emotional_Intervention,AUS;BRA;FIN;EST;CHL;URY;DOM;NLD;ISR;DNK;TWN;COL;DEU;LTU;JPN;MNE;CRI;SVK;LUX;TUR;ESP;MYS;RUS;FRA;HUN;IRL;SGP;LVA;POL;CYP;MAC;GBR;CHE;BEL;TUN;PER;USA;CZE;CHN;PRT;NZL;KOR;SVN;NOR;GRC;ARE;QAT;BGR;HKG;AUT;CAN;SWE;MEX;HRV;THA;ISL,Global,Review_or_Methodology,3,"Using PISA 2018 the study leveraged physical activity status (low activity subgroup) to cluster countries by pre-exam anxiety percentage, finding that the most anxious countries formed two high-anxiety clusters (H-1: 67%, H-2: 78%) while three lower-anxiety clusters (L-1: 41%, L-2: 52%, L-3: 60%) emerged, with Brazil and the Dominican Republic among the highest-anxiety cluster members."
24. Wang et al. (2022). Why do East Asian students do so well in mathematics? A machine learning study.pdf,Random Forest,Mathematics achievement (Plausible Values; mean across five PV regressions),Resource_Allocation_Equity,TWN;HKG;JPN;KOR;SGP,Multi-Country,Ensemble_Learning,4,"Using TIMSS 2019 Grade 8 mathematics the study leveraged students’ confidence in mathematics, student SES, and school emphasis on academic success (among other socio-ecological factors) to predict mathematics achievement, finding that the top 11 predictors explained 49% of the variance (R²=0.49; RMSE=0.71) and that the three most important variables were students’ confidence, SES, and school academic emphasis."
